name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN,year,age,make,model
2013 Kia Rio - One Owner,5950,Surrey,https://www.craigslist.org/view/d/surrey-2013-kia-rio-one-owner/pA49iCPBbPcgGgndcoynBm,excellent,4.0,fwd,gas,129000,grey,clean,automatic,sedan,,2013.0,13.0,Kia,Rio
2013 Hyundai Veloster  LOADED OPTIONS REARVIEW CAMERA,6500,coquitlam bc,https://www.craigslist.org/view/d/coquitlam-2013-hyundai-veloster-loaded/4pW4vWijJnYAafhVmQNTo9,like new,4.0,fwd,gas,90000,orange,rebuilt,automatic,coupe,,2013.0,13.0,Hyundai,Veloster
HONDA CIVIC 2007 STICK SHIFT,1400,North vancouver,https://www.craigslist.org/view/d/north-vancouver-honda-civic-2007-stick/etaYuF6ryjnTJ1pQ6FR64m,good,4.0,4wd,gas,289000,silver,clean,manual,sedan,,2007.0,19.0,Honda,Civic
2026 Nissan Kicks SV FWD,29140,north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2026-nissan/2ktrvFFvBs9z6zfZ1WK523,new,4.0,fwd,gas,20,white,clean,automatic,SUV,,2026.0,0.0,Nissan,Kicks
2025 Nissan Rogue AWD SL,34183,north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2025-nissan/vsHDWDbbrFPTYvwNrcscey,like new,3.0,4wd,gas,7116,white,clean,automatic,SUV,,2025.0,1.0,Nissan,Rogue
2026 Nissan Sentra SV Premium,30610,north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2026-nissan/hhTnDvdhA3qa4d4CrFqbTB,new,4.0,fwd,gas,25,,clean,automatic,sedan,,2026.0,0.0,Nissan,Sentra SV
2026 Nissan Sentra SR,30455,north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2026-nissan/suhoRBZgrmcZuedzsu8W6L,new,4.0,fwd,gas,25,white,clean,automatic,sedan,,2026.0,0.0,Nissan,Sentra SR
Clean Title 1998 Buick Regal LS - (Automatic),2500,north shore,https://www.craigslist.org/view/d/north-vancouver-clean-title-1998-buick/s6WePkYuDwY6jrVQRnuWBs,excellent,6.0,fwd,gas,226000,,clean,automatic,sedan,,1998.0,28.0,Buick,Regal
2018 Land Rover Sport HSE,31874,north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-2018-land/n2NDh21q4LdZd1rehxJqMf,excellent,6.0,4wd,diesel,120676,white,clean,automatic,SUV,,2018.0,8.0,Land Rover,
Mazda 3 2014 200k rebuild serviced,5400,city of vancouver,https://www.craigslist.org/view/d/burnaby-mazda-rebuild-serviced/3jpQ2JS2UHxLFMHWsc29qB,,,,gas,225000,,rebuilt,automatic,sedan,,2014.0,12.0,Mazda,Mazda3
2004 Saab 9-5 Wagon,1800,Vancouver,https://www.craigslist.org/view/d/vancouver-2004-saab-5-wagon/pCMcTSyjNtdPo63WEFoJTd,good,4.0,,gas,194190,blue,clean,automatic,wagon,,2004.0,22.0,Saab,9-5
2018 Mercedes-Benz GLE,31888,Coquitlam,https://www.craigslist.org/view/d/coquitlam-2018-mercedes-benz-gle/bSewpR8RDGsEiSiCWc4q1V,like new,6.0,4wd,gas,65000,brown,clean,automatic,SUV,,2018.0,8.0,Mercedes-Benz,
** 2012 AUDI Q5 PREMIUM MODEL -3.2 QUATTRO **,3600,Vancouver,https://www.craigslist.org/view/d/vancouver-audi-q5-premium-model-32/wjJyVnrq29Um7hPw9HT5QW,,6.0,4wd,gas,242400,,clean,automatic,SUV,,2012.0,14.0,Audi,TT
2004 BMW 325CI Convertible low kms!,7800,Central Richmond/Brighouse Station,https://www.craigslist.org/view/d/richmond-2004-bmw-325ci-convertible-low/uHX6LNcGGi7YVDDaQMqHAk,excellent,,,gas,136000,,clean,automatic,convertible,,2004.0,22.0,BMW,325Ci
2001 honda accord,3000,coquitlam,https://www.craigslist.org/view/d/coquitlam-2001-honda-accord/kzybWqmaefFqxQyAz5sx6n,like new,4.0,,gas,260000,,clean,automatic,sedan,,2001.0,25.0,Honda,Accord
2018 Mitsubishi outlander PHEV,13900,New Westminster,https://www.craigslist.org/view/d/new-westminster-northeast-2018/6JBUsmjcMS2wYhPM2Fwo3t,good,,4wd,hybrid,207000,silver,clean,automatic,SUV,,2018.0,8.0,Mitsubishi,Outlander
2026 Hyundai Venue Ultimate! Only 4500km,26995,Maple Ridge,https://www.craigslist.org/view/d/maple-ridge-2026-hyundai-venue-ultimate/eVmoLB5kd6fdtU3Axz4ie4,like new,4.0,fwd,gas,4500,black,clean,automatic,SUV,,2026.0,0.0,Hyundai,Venue
2018 Subaru WRX STi,32995,Maple Ridge,https://www.craigslist.org/view/d/maple-ridge-2018-subaru-wrx-sti/cbkauLik6p9H2AMNQ3B3ic,like new,4.0,4wd,gas,93850,blue,clean,manual,sedan,,2018.0,8.0,Subaru,WRX STI
2025 Honda Civic Touring Hybrid,34995,Maple Ridge,https://www.craigslist.org/view/d/maple-ridge-2025-honda-civic-touring/4ed1AfbkSawtTbzSSRPhXb,like new,4.0,fwd,gas,24200,white,clean,automatic,sedan,,2025.0,1.0,Honda,Civic
2017 Ford Escape Titanium FWD,12995,Maple Ridge,https://www.craigslist.org/view/d/maple-ridge-2017-ford-escape-titanium/iEbB2SYH1K2ZatJ1n9ytNk,like new,4.0,fwd,gas,130500,brown,clean,automatic,SUV,,2017.0,9.0,Ford,Escape
2023 Kia Forte EX+ (Super clean),20995,Port Coquitlam,https://www.craigslist.org/view/d/maple-ridge-2023-kia-forte-ex-super/hLzTwi3vkeeHuH3qzXE9Hy,like new,4.0,fwd,gas,57500,black,clean,automatic,sedan,,2023.0,3.0,Kia,Forte
2021 Nissan Qashqai S AWD,19995,Port Coquitlam,https://www.craigslist.org/view/d/maple-ridge-2021-nissan-qashqai-awd/rSCB2B6t721DyY1QyiC6bP,excellent,4.0,4wd,gas,67800,white,clean,automatic,SUV,,2021.0,5.0,Nissan,Qashqai
2025 Mazda CX-50 GS-L,35995,Port Coquitlam,https://www.craigslist.org/view/d/maple-ridge-2025-mazda-cx-50-gs/oZ4FLcWEGyDDw2zRkyXWc4,like new,4.0,4wd,gas,47800,grey,clean,automatic,SUV,,2025.0,1.0,Mazda,CX-50
2016 Honda Accord V6 Touring coupe,24995,Port Coquitlam,https://www.craigslist.org/view/d/maple-ridge-2016-honda-accord-v6/aumHjcWCo6Jzt9ZcFzEA6K,like new,6.0,fwd,gas,82000,white,clean,automatic,coupe,,2016.0,10.0,Honda,Accord V6
2007 Audi S8 V10,21900,Port Moody,https://www.craigslist.org/view/d/port-moody-2007-audi-s8-v10/1FE5wW2BrRoMjX6jDg3TWR,excellent,10.0,4wd,gas,138000,grey,clean,automatic,sedan,,2007.0,19.0,Audi,S8
1967 Firebird Convertible ( Trade ),35000,north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-1967-firebird/fvwWdt3M2xhfgGugV8XLm2,excellent,8.0,rwd,gas,300,black,clean,manual,convertible,,1967.0,59.0,,
1999 Land Rover Discovery 2,5500,Richmond,https://www.craigslist.org/view/d/richmond-1999-land-rover-discovery/dA3oUCiAqAL9hkP5GZWFLy,good,,,gas,220000,,clean,automatic,SUV,,1999.0,27.0,Land Rover,Discovery
1995 SN95 Mustang GT,7000,north shore,https://www.craigslist.org/view/d/north-vancouver-southwest-1995-sn95/wyiArJaT9eckxP8X4HQBPk,good,8.0,rwd,gas,300,green,clean,manual,coupe,,1995.0,31.0,,
2006 Ford F-550,14500,Delta,https://www.craigslist.org/view/d/delta-2006-ford-550/vnUXjRw46CoHdXmRw5rhyx,,10.0,rwd,gas,256656,white,clean,automatic,truck,1FDAW56Y26EA60883,2006.0,20.0,Ford,
2011 dodge avenger sxt ac cold 4cyl gas saver,2800,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2011-dodge-avenger-sxt-ac/cgiEgCyDzjTz16fGW57KtT,,,,gas,90000,,clean,automatic,,,2011.0,15.0,Dodge,Avenger
2011 Chevrolet Suburban LTZ XL 7 seater 5.3L,5999,delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-2011-chevrolet-suburban-ltz/1R4mVSGSahgDdUNyAAsfNA,,8.0,,gas,140000,,clean,automatic,SUV,,2011.0,15.0,Chevrolet,Suburban
2026 Honda Civic Sport,4500,GILROY,https://www.craigslist.org/view/d/vancouver-2026-honda-civic-sport/69arDfR3htZ9PhdbMxpVmh,good,4.0,fwd,gas,31000,blue,clean,automatic,sedan,,2026.0,0.0,Honda,Civic
2009 Toyota highlander Hybrid With 254K,10998,Surrey,https://www.craigslist.org/view/d/surrey-2009-toyota-highlander-hybrid/iTXQB5u7S89W1vrwQYPDUX,excellent,6.0,4wd,gas,254000,black,clean,automatic,SUV,,2009.0,17.0,Toyota,Highlander
2017 Hyundai Tucson Ultimate With 133K,13895,Surrey,https://www.craigslist.org/view/d/surrey-2017-hyundai-tucson-ultimate/iD4VvpZ58ogHFKgvhZQWYv,excellent,4.0,4wd,gas,133000,custom,clean,automatic,SUV,,2017.0,9.0,Hyundai,Tucson
1997 Mustang Convertible V6,4850,Port Coquitlam,https://www.craigslist.org/view/d/port-coquitlam-south-1997-mustang/erA38UiuhV8DRhB61aZ1Lo,good,6.0,rwd,gas,193000,white,clean,automatic,convertible,,1997.0,29.0,,
2003 GMC Envoy SLT,4700,burnaby,https://www.craigslist.org/view/d/burnaby-2003-gmc-envoy-slt/ctZpxYM42S3JP5h4CbysyM,excellent,6.0,4wd,gas,184000,black,clean,automatic,SUV,,2003.0,23.0,GMC,Envoy
1995 Jaguar XJS Convertible,17888,Port Coquitlam,https://www.craigslist.org/view/d/port-coquitlam-south-1995-jaguar-xjs/m1uiVo3upS9LQAuM7ZQ8hf,excellent,6.0,rwd,gas,110000,green,clean,automatic,convertible,,1995.0,31.0,Jaguar,XJS
1995 Corvette Convertible - Both Tops Price Reduced,16995,Bellingham,https://www.craigslist.org/view/d/surrey-upper-west-1995-corvette/fuQkcaSdfafpfDeHUtEmbW,excellent,8.0,rwd,gas,55900,white,clean,automatic,convertible,,1995.0,31.0,,
"2003 GMC SONOMA LOW LOW KMS!! 93,500!!",7999,Burnaby,https://www.craigslist.org/view/d/burnaby-2003-gmc-sonoma-low-low-kms/cpG9nw814YyXqVtu4VBU2J,excellent,6.0,rwd,gas,93500,white,clean,automatic,pickup,,2003.0,23.0,GMC,Sonoma
2000 SAAB 9.3 > 5sp manual turbo> runs good,3300,West End - Vancouver,https://www.craigslist.org/view/d/vancouver-2000-saab-93-5sp-manual-turbo/ikDHAz8uUvoppq4Vm26gjH,good,4.0,fwd,gas,225000,red,clean,manual,hatchback,,2000.0,26.0,Saab,9-3
