name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt,year,age,make,model,City (L/100 km),Highway (L/100 km),Combined (L/100 km),market,km_per_year,usage_ratio,usage_category,annual_fuel_cost
2012 Buick Enclave,5800,212000.0,0,https://www.craigslist.org/view/d/richmond-2012-buick-enclave/72cxo2e6kCtkewE14EyYx9,excellent,gas,red,clean,automatic,SUV,6.0,,Richmond,,,2012.0,14.0,Buick,Enclave,14.5,10.15,12.55,American,15142.9,1.01,Average,3388.0
2025 Toyota corolla cross LE awd 9k km,34900,9900.0,0,https://www.craigslist.org/view/d/richmond-2025-toyota-corolla-cross-le/uWxF9L93dt1eYSyioZJmQD,like new,gas,,clean,automatic,sedan,4.0,4wd,Richmond,7MUCAABG0SV147452,,2025.0,1.0,Toyota,Corolla Cross,7.6,7.2,7.4,Japanese,9900.0,0.66,Below Average,1998.0
2015 Chrysler 200S,6300,184000.0,0,https://www.craigslist.org/view/d/surrey-north-2015-chrysler-200s/kGqXV5dFRBYXoaziwMeL5W,good,gas,,clean,automatic,,6.0,,Surrey,,,2015.0,11.0,Chrysler,200,12.8,8.1,10.7,American,16727.3,1.12,Average,2889.0
"2017 Toyota Rav4 LE+ HYBRID AWD, 117K Km only",26900,117800.0,0,https://www.craigslist.org/view/d/richmond-2017-toyota-rav4-le-hybrid-awd/tiocPMhTuWbTtHua9vxipJ,excellent,hybrid,,clean,automatic,SUV,4.0,4wd,Richmond,JTMRJREV9HD145457,,2017.0,9.0,Toyota,RAV4,10.3,8.0,9.2,Japanese,13088.9,0.87,Average,2484.0
"2004 BMW M3 E46 CONVERTIBLE, CALIFORNIA CAR",35000,100000.0,0,https://www.craigslist.org/view/d/central-saanich-2004-bmw-m3-e46/pzQvcD8Pzptftzd5r53YQE,,gas,,clean,automatic,convertible,,,Central,,,2004.0,22.0,BMW,M3,15.8,10.85,13.6,European,4545.5,0.3,Ultra Low/Weekend,3672.0
"1995 Chevrolet Caprice Classic, LT1 (5.7L V8)",6800,260000.0,0,https://www.craigslist.org/view/d/burnaby-1995-chevrolet-caprice-classic/nGxAdRsxv9xZT1F7JmQqPY,fair,gas,,clean,automatic,sedan,8.0,rwd,Burnaby,,,1995.0,31.0,Chevrolet,Caprice,15.6,10.2,13.2,American,8387.1,0.56,Below Average,3564.0
Lexus GX 460 2010 - New A/C,23900,282000.0,0,https://www.craigslist.org/view/d/west-vancouver-lexus-gx-new-c/qL7GqsdKq3HHmNpW9Pmgib,good,gas,silver,clean,automatic,SUV,8.0,4wd,West Vancouver,,,2010.0,16.0,Lexus,GX 460,15.7,11.5,13.9,Japanese,17625.0,1.18,Average,3753.0
2011 Scion XB,9800,113500.0,0,https://www.craigslist.org/view/d/vancouver-2011-scion-xb/69q3iKuDDk1Zk61HCSGnzq,excellent,gas,,clean,manual,wagon,4.0,fwd,Vancouver,,,2011.0,15.0,Scion,xB,10.9,8.6,9.8,Japanese,7566.7,0.5,Ultra Low/Weekend,2646.0
1997 Mustang Cobra Convertible,29500,72871.0,0,https://www.craigslist.org/view/d/burnaby-1997-mustang-cobra-convertible/odgJMPwZkAviXoJP188o26,excellent,gas,white,clean,manual,convertible,8.0,rwd,Burnaby,,,1997.0,29.0,,,,,,,2512.8,0.17,Ultra Low/Weekend,
2006 TPYOTA HIGHLANDER HYBRID,4900,144354.0,0,https://www.craigslist.org/view/d/vancouver-2006-tpyota-highlander-hybrid/qstsBsQB2LV8dWyQyb9s9k,excellent,gas,blue,rebuilt,automatic,SUV,4.0,fwd,Vancouver,,,2006.0,20.0,,,,,,,7217.7,0.48,Ultra Low/Weekend,
2005 Ford Escape XLT,2400,288000.0,0,https://www.craigslist.org/view/d/burnaby-2005-ford-escape-xlt/jWhjGDpFjXBb4aAdydqEjP,,gas,,clean,automatic,SUV,,,Burnaby,,,2005.0,21.0,Ford,Escape,12.3,10.2,11.4,American,13714.3,0.91,Average,3078.0
"2008 Mercedes-Benz E320 BlueTEC Sedan – 199,000 km – Clean & Well Main",7900,199000.0,0,https://www.craigslist.org/view/d/burnaby-2008-mercedes-benz-e320-bluetec/5QNwV7CURbcW7UfCT14ryX,excellent,diesel,,clean,automatic,sedan,,,Burnaby,,,2008.0,18.0,Mercedes-Benz,E 320 BlueTec,10.3,7.3,9.0,European,11055.6,0.74,Below Average,2430.0
2013 Chevrolet Trax 2LT AWD,3300,257000.0,0,https://www.craigslist.org/view/d/burnaby-2013-chevrolet-trax-2lt-awd/6uFZNWF1G16DifPG2rwd1k,excellent,gas,,clean,automatic,SUV,,,Burnaby,,,2013.0,13.0,Chevrolet,Trax,9.4,7.1,8.3,American,19769.2,1.32,Above Average,2241.0
