name,price,location,link,condition,cylinders,drive,fuel,odometer,paint color,title status,transmission,type,VIN
2026 Honda Civic Sport,"$4,500",GILROY,https://www.craigslist.org/view/d/vancouver-2026-honda-civic-sport/69arDfR3htZ9PhdbMxpVmh,good,4 cylinders,fwd,gas,"31,000",blue,clean,automatic,sedan,
12 Mercedes-Benz BlueTEC 1000kms in tank,"$6,250",delta/surrey/langley,https://www.craigslist.org/view/d/surrey-east-12-mercedes-benz-bluetec/3jvXruoKAeT3mQUPgaGsE7,,,4wd,diesel,"20,000",,clean,automatic,,
2009 Toyota highlander Hybrid With 254K,"$10,998",Surrey,https://www.craigslist.org/view/d/surrey-2009-toyota-highlander-hybrid/iTXQB5u7S89W1vrwQYPDUX,excellent,6 cylinders,4wd,gas,"254,000",black,clean,automatic,SUV,
2017 Hyundai Tucson Ultimate With 133K,"$13,895",Surrey,https://www.craigslist.org/view/d/surrey-2017-hyundai-tucson-ultimate/iD4VvpZ58ogHFKgvhZQWYv,excellent,4 cylinders,4wd,gas,"133,000",custom,clean,automatic,SUV,
1997 Mustang Convertible V6,"$4,850",Port Coquitlam,https://www.craigslist.org/view/d/port-coquitlam-south-1997-mustang/erA38UiuhV8DRhB61aZ1Lo,good,6 cylinders,rwd,gas,"193,000",white,clean,automatic,convertible,
2003 GMC Envoy SLT,"$4,700",burnaby,https://www.craigslist.org/view/d/burnaby-2003-gmc-envoy-slt/ctZpxYM42S3JP5h4CbysyM,excellent,6 cylinders,4wd,gas,"184,000",black,clean,automatic,SUV,
1995 Jaguar XJS Convertible,"$17,888",Port Coquitlam,https://www.craigslist.org/view/d/port-coquitlam-south-1995-jaguar-xjs/m1uiVo3upS9LQAuM7ZQ8hf,excellent,6 cylinders,rwd,gas,"110,000",green,clean,automatic,convertible,
1995 Corvette Convertible - Both Tops Price Reduced,"$16,995",Bellingham,https://www.craigslist.org/view/d/surrey-upper-west-1995-corvette/fuQkcaSdfafpfDeHUtEmbW,excellent,8 cylinders,rwd,gas,"55,900",white,clean,automatic,convertible,
Lexus,"$6,800",burnaby/newwest,https://www.craigslist.org/view/d/burnaby-lexus/ueDiMtfe4RBuS19DwPohsf,,,,gas,"226,000",,clean,automatic,,
"2003 GMC SONOMA LOW LOW KMS!! 93,500!!","$7,999",Burnaby,https://www.craigslist.org/view/d/burnaby-2003-gmc-sonoma-low-low-kms/cpG9nw814YyXqVtu4VBU2J,excellent,6 cylinders,rwd,gas,"93,500",white,clean,automatic,pickup,
2000 SAAB 9.3 > 5sp manual turbo> runs good,"$3,300",West End - Vancouver,https://www.craigslist.org/view/d/vancouver-2000-saab-93-5sp-manual-turbo/ikDHAz8uUvoppq4Vm26gjH,good,4 cylinders,fwd,gas,"225,000",red,clean,manual,hatchback,
BMW X3 xdrive3.0i,"$5,900",Olympic village,https://www.craigslist.org/view/d/vancouver-bmw-x3-xdrive30i/cKjzofNCYzDKR5o9ZdzpY4,excellent,4 cylinders,4wd,gas,"179,000",grey,clean,automatic,SUV,
2010 BMW 328i Xdrive,"$6,900",Vancouver,https://www.craigslist.org/view/d/vancouver-2010-bmw-328i-xdrive/cZaraMpZe2W5mvXWScmTYA,like new,6 cylinders,4wd,gas,"254,775",,clean,automatic,sedan,
2015 Audi Q5 Quattro TFSI,"$7,500",Fraser Valley,https://www.craigslist.org/view/d/abbotsford-southwest-2015-audi-q5/cyBQvbfywdxjEFD5RNKSNT,excellent,4 cylinders,fwd,gas,"200,500",black,clean,automatic,SUV,
